Timestamp,Questions ,Category,C1
,What steps do companies take and how do they review the steps for betterment of employees work culture and help them cope work stress environment. ,Corporate,
,"I wanna know about BCA course, NIMCET, CDAC and CAT exam and, Surgeon and data scientist as a profession.",Corporate,
,How to stand up and prepare again for an exam/goal even after repeated failures and when barely anyone believes you ? How to be a lone wolf ?,Corporate,
,"His methodology while he was doing his prep, or what intrigues him in his area of research",Research,
, i'd begin by asking them about their research domain and what led them to start focusing on that particular topic.,Research,
,What are the differences between what you leaned in IIT KANPUR and what you had to apply in your job at the industrial level (for corporate),Corporate,
,"What are the scopes of research in india , because people often tend to stay away from research due to low salaries ? Is there any way to bypass this notion or it is the absolute harsh truth ",Research,
,How many attempts should you take for UPSC,UPSC,
,What were your back up plans if you failed in UPSC ?,UPSC,
,How can I know if I should actually prepare for UPSC,UPSC,
,"What are the possible corporate options for a student , as many times it feels as if practically there is not a lot of diversity for jobs . Also because it seems that software and finance are the only lucrative career options ",Corporate,
,How and when to start for UPSC prep along with Acads? ,UPSC,
,What are our chances for being successful in research domain?,Research,
,"How to pick and choose one particular field for research,  as I feel it is difficult for me to be specific ",Research,
,Should a student of an iit go for college placement or prepare for government exams like gate/ies,Corporate,
,"What strategies should I follow to effectively manage time during the UPSC exam, especially for the General Studies paper?

How can I improve my answer writing skills to score well in the UPSC mains examination?

Could you provide insights on the most important topics to focus on for the UPSC interview/personality test?

What are the common mistakes that candidates make during the UPSC interview, and how can I avoid them?",UPSC,
,What subjects I need to crack CLAT exam ?,Corporate,
,"Even if I want to do research how can I start it 
And when should I?
As it is getting really difficult for me to analyse for precisely which field should I choose . 
I am also not sure about research As I feel it's something which doesn't give you a lot of money (in india) ",Research,
,How to start UPSC preparation as well as how to manage acads parallely while doing preparation. ,UPSC,
,Can you share your experiences when you met corporate world?,Corporate,
,"Why there are very low opportunities in core finance 
I am interested in core finance how can I get resources for that",Corporate,
,I would like to ask about UPSC exam that how should a undergraduate student should start the preparation during the college  days and what should be the approach towards optional subjects in UPSC ,UPSC,
,"It is for corporate 
How can I understand what the industry demands from us,  as majority of people I know aren't that experienced 
So can you give us insights that you weren't that aware when you were in college,  and got to know when you entered the corporate world
",Corporate,
,I would ask a upsc domain expert if it is really difficult to crack upsc after doing engineering. I genuinly want to know the harsh reality if it is difficult.,UPSC,
,"How can I actually understand my interest
As there are limitations for trying out new things ",Research,
,I want to know about how to get research internship in IIM or ISB for a economics student after 4th sem,Research,
,What is the difference b/w prelims and mains in upsc ?,UPSC,
,"I have heard that their are limited opportunities for getting a machine learning internship ?
As they just prefer the top 3 branches or even less?
So how can I , being a lower branch student get quality internships in my 3rd year",Research,
,"I am extremely interested in sports , and I am actually really good in it at inter iit level ,but I am afraid that these things won't help me get good placements 
That insecurity is something which often haunts me",Research,
,"How difficult is it to get to work under a prof for research or project
And how can I know which prof to mail?",Research,
,"How well can we use our alumni network outside the campus in terms of research collaboration?
As often I don't understand what could be the possible advantages can we use",Research,
,What should we do for an upsc interview which is a very crucial part for cracking upsc?,UPSC,
06-12-2023 00:15,What are steps to get higher payment jobs in IT sector ,Corporate,
06-12-2023 00:18,How did you discover your research interests and decide on a specific field of study?,Research,
06-12-2023 00:18,What are the emerging research areas in India that offer promising opportunities for young researchers?,Research,
06-12-2023 00:18,What steps can I take to explore different research fields and determine which one aligns with my interests and strengths?,Research,
06-12-2023 00:18,Are there any specific resources or platforms in India that can help me gain exposure to various research disciplines and connect with experts in the field?,Research,
06-12-2023 00:19,"What are the key skills and qualities that are essential for a successful career in research, and how can I develop them during my college years?",Research,
06-12-2023 00:19,"Can you provide insights into the research culture and environment in India, including funding opportunities, collaboration prospects, and career progression?",Research,
06-12-2023 00:19,How can I leverage my time at IIT Kanpur to enhance my research capabilities and build a strong academic foundation?,Research,
06-12-2023 00:19,"Are there any internships, fellowships, or research programs in India that you would recommend for college students interested in research?",Research,
06-12-2023 00:20,"What are some potential challenges and roadblocks that I might encounter in a research career, and how can I overcome them?",Research,
06-12-2023 00:20,"Should I look for doing research in india for my nations progress 
Or I should research abroad for better opportunities and foundation ",Research,
